rank,country,iso3,country_iso3,region,year,hno_year,sector_label,need_method,need_selection,source_file,people_in_need,requirements_usd,funding_usd,funding_pct,funding_gap,appeal_names,appeal_types,has_hrp_record,has_active_hrp,active_hrp_count,active_hrp_names,active_hrp_codes,active_hrp_types,hrp_status,hrp_plan_name,hrp_plan_type,hrp_year,hrp_match_confidence,hrp_data_quality,cbpf_allocation_usd,cbpf_allocation,cbpf_budget_usd,cbpf_projects,cbpf_per_person_in_need,cbpf_mapping_confidence,cbpf_country_source,population_baseline,population_reference_year,pin_population_share,population_source,severity_available,severity_scale,severity_rank,severity_context,severity_source,inform_severity_score,inform_severity_level,sector_count,sector_requirements_usd,sector_funding_usd,sector_median_funding_pct,worst_sector,worst_sector_funding_pct,worst_sector_gap_usd,incoming_total_usd,incoming_flow_records,incoming_source_count,top_donor,top_donor_usd,top_donor_share,outgoing_total_usd,outgoing_flow_records,outgoing_recipient_count,top_recipient,top_recipient_usd,top_recipient_share,need_scale,unmet_need_scale,cbpf_gap_scale,chronic_scale,overlooked_score,overlooked_level,underfunded_years_last_3,observed_funding_years_last_3,chronic_underfunding_count,chronic_underfunding_scale,confidence,data_quality_flags,supplemental_data_flags,lat,lon,explanation
1,Yemen,YEM,YEM,Middle East,2026,2026,GHO Estimates,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2026.csv,23100000.0,2162563336.0,283776642.0,0.13122234954971973,0.8687776504502802,Yemen Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,True,True,2,Regional Migrant Response Plan for Horn of Africa to Yemen and Southern Africa 2026; Yemen Humanitarian Needs and Response Plan 2026,HYEM26; RREG26,Humanitarian needs and response plan; sector,active_date_overlap_no_status_field,Yemen Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,0.0,0.0,0.0,0.0,0.0,not_applicable_no_mapped_allocation,no_mapped_cbpf_allocation,,,,,False,,,"No local INFORM/IPC/IDP severity file is available, and no COD baseline matched this row.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,12,2094762913.0,198760630.0,0.1407346714332764,Emergency Telecommunications,0.0,1232000.0,142419285,147,27,"Saudi Arabia (Kingdom of), Government of",23742251,0.16670671391167285,142498978,130,37,World Food Programme,29686312,0.20832649059419922,0.95,0.95,0.8,0.6666666666666666,87.88610792792367,Very High,2,3,2,0.6666666666666666,High,no_mapped_cbpf_allocation,no_cod_population_baseline; hrp_status_inferred_without_status_field; no_formal_severity_dataset,15.5527,48.5164,"Yemen ranks Very High because it has 23,100,000 people in need, 13% funded, and $0 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. It has an active HRP in 2026 (Yemen Humanitarian Needs and Response Plan 2026); matched FTS funding coverage is 13% funded. The lowest matched sector funding coverage is Emergency Telecommunications at 0.0%. The largest single-country incoming flow source accounts for 16.7% of matched paid/commitment flow detail."
2,Sudan,SDN,SDN,East Africa,2026,2026,Final,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2026.csv,33699770.0,2866228593.0,596525342.0,0.2081220400413471,0.791877959958653,Sudan Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,True,True,1,Sudan Humanitarian Needs and Response Plan 2026,HSDN26,Humanitarian needs and response plan,active_date_overlap_no_status_field,Sudan Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,206500000.03,206500000.03,206500000.03,20.0,6.127638260735904,alias_match,pooledfundname_alias_table,47514529.0,2024,0.7092519006133893,Central Bureau of Statistics (CBS) Sudan,False,0.9333333333333333,2.0,"PIN is 70.9% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,14,2339534272.0,431805651.0,0.15652885834775943,Camp Coordination / Management,0.0,14990359.0,453983446,171,29,"United States of America, Government of",200000000,0.44054469774653415,405083275,118,34,Sudan Humanitarian Fund,249380135,0.6156268362350926,1.0,1.0,0.5,0.6666666666666666,83.96361566563299,Very High,2,3,2,0.6666666666666666,High,ok,hrp_status_inferred_without_status_field; no_formal_severity_dataset,12.8628,30.2176,"Sudan ranks Very High because it has 33,699,770 people in need, 21% funded, and $206,500,000 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. COD admin0 data puts PIN at 70.9% of the population baseline. It has an active HRP in 2026 (Sudan Humanitarian Needs and Response Plan 2026); matched FTS funding coverage is 21% funded. The need-context proxy ranks at percentile 93% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Camp Coordination / Management at 0.0%. The largest single-country incoming flow source accounts for 44.1% of matched paid/commitment flow detail."
3,Afghanistan,AFG,AFG,Asia-Pacific,2026,2026,Plan caseload,national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2026.csv,21889283.0,1714181496.0,254880830.0,0.14868952359756427,0.8513104764024357,Afghanistan Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,True,True,1,Afghanistan Humanitarian Needs and Response Plan 2026,HAFG26,Humanitarian needs and response plan,active_date_overlap_no_status_field,Afghanistan Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,9187068.4,9187068.4,9187068.4,13.0,0.41970622792898243,alias_match,pooledfundname_alias_table,40411869.0,2021,0.5416548044338162,National Statistic and Information Authority (NSIA) Afghanistan,False,0.8666666666666667,3.0,"PIN is 54.2% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,10,1714181496.0,177389427.0,0.08661390370109501,Nutrition,0.029594935255077497,289223247.0,104986631,85,23,"Switzerland, Government of",17618249,0.1678142143641127,93180711,64,23,Afghanistan Humanitarian Fund,27281649,0.2927821510183583,0.9,0.9,0.6,0.3333333333333333,78.61609524339423,Very High,1,3,1,0.3333333333333333,High,ok,hrp_status_inferred_without_status_field; no_formal_severity_dataset,33.9391,67.71,"Afghanistan ranks Very High because it has 21,889,283 people in need, 15% funded, and $9,187,068 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 1 of the last 3 observed funding years. COD admin0 data puts PIN at 54.2% of the population baseline. It has an active HRP in 2026 (Afghanistan Humanitarian Needs and Response Plan 2026); matched FTS funding coverage is 15% funded. The need-context proxy ranks at percentile 87% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Nutrition at 3.0%. The largest single-country incoming flow source accounts for 16.8% of matched paid/commitment flow detail."
4,Venezuela (Bolivarian Republic of),VEN,VEN,Latin America and Caribbean,2026,2026,GHO Estimates,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2026.csv,7900000.0,632191972.0,97100737.0,0.15359375205732603,0.8464062479426739,Venezuela Plan de Respuesta Humanitaria 2026,Humanitarian needs and response plan,True,True,1,Venezuela Plan de Respuesta Humanitaria 2026,HVEN26,Humanitarian needs and response plan,active_date_overlap_no_status_field,Venezuela Plan de Respuesta Humanitaria 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,0.0,0.0,0.0,0.0,0.0,not_applicable_no_mapped_allocation,no_mapped_cbpf_allocation,27225775.0,2011,0.2901662119811098,Instituto Nacional de Estadística (INE),False,0.6666666666666666,6.0,"PIN is 29.0% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,9,632191972.0,59345599.0,0.048927613570611046,Protection - Child Protection,0.01147098317362099,38373872.0,74056157,51,13,United States Department of State,27000000,0.3645881867729107,71382818,39,13,World Food Programme,31664312,0.4435845051676161,0.7,0.7,0.8,1.0,78.16015619856684,Very High,3,3,3,1.0,High,no_mapped_cbpf_allocation,hrp_status_inferred_without_status_field; no_formal_severity_dataset,6.4238,-66.5897,"Venezuela (Bolivarian Republic of) ranks Very High because it has 7,900,000 people in need, 15% funded, and $0 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 3 of the last 3 observed funding years. COD admin0 data puts PIN at 29.0% of the population baseline. It has an active HRP in 2026 (Venezuela Plan de Respuesta Humanitaria 2026); matched FTS funding coverage is 15% funded. The need-context proxy ranks at percentile 67% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Protection - Child Protection at 1.1%. The largest single-country incoming flow source accounts for 36.5% of matched paid/commitment flow detail."
5,Syrian Arab Republic,SYR,SYR,Middle East,2026,2026,GHO Estimates,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2026.csv,16500000.0,2922184830.0,482681129.0,0.16517816533870652,0.8348218346612934,Syrian Arab Republic Humanitarian Response Priorities 2026,Humanitarian needs and response plan,True,True,1,Syrian Arab Republic Humanitarian Response Priorities 2026,HSYR26,Humanitarian needs and response plan,active_date_overlap_no_status_field,Syrian Arab Republic Humanitarian Response Priorities 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,145900000.0,145900000.0,145900000.0,17.0,8.842424242424242,alias_match,pooledfundname_alias_table,,,,,False,,,"No local INFORM/IPC/IDP severity file is available, and no COD baseline matched this row.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,11,2922184830.0,354272862.0,0.1427824647694207,Education,0.06264064001516213,316055911.0,294131306,121,20,"United States of America, Government of",150000000,0.5099763164958714,278781105,110,40,Syrian Arab Republic Humanitarian Fund,188196183,0.6750679282944947,0.85,0.85,0.44999999999999996,0.6666666666666666,76.787212533199,Very High,2,3,2,0.6666666666666666,High,ok,no_cod_population_baseline; hrp_status_inferred_without_status_field; no_formal_severity_dataset,34.8021,38.9968,"Syrian Arab Republic ranks Very High because it has 16,500,000 people in need, 17% funded, and $145,900,000 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. It has an active HRP in 2026 (Syrian Arab Republic Humanitarian Response Priorities 2026); matched FTS funding coverage is 17% funded. The lowest matched sector funding coverage is Education at 6.3%. The largest single-country incoming flow source accounts for 51.0% of matched paid/commitment flow detail."
6,Myanmar,MMR,MMR,Asia-Pacific,2026,2026,Protection (overall),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2026.csv,11596899.0,889600798.0,283434906.0,0.3186090959419306,0.6813909040580695,Myanmar Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,True,True,1,Myanmar Humanitarian Needs and Response Plan 2026,HMMR26,Humanitarian needs and response plan,active_date_overlap_no_status_field,Myanmar Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,135931808.67,135931808.67,135931808.67,15.0,11.721392819752934,alias_match,pooledfundname_alias_table,,,,,False,,,"No local INFORM/IPC/IDP severity file is available, and no COD baseline matched this row.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,10,889600794.0,220111271.0,0.2198777784502216,Education,0.0811395160679924,80912286.0,247223995,98,16,"United States of America, Government of",140000000,0.5662880741005742,244286937,72,8,Myanmar Humanitarian Fund,174101206,0.7126914281134893,0.8,0.8,0.35,1.0,72.28477260145173,High,3,3,3,1.0,High,ok,no_cod_population_baseline; hrp_status_inferred_without_status_field; no_formal_severity_dataset,21.9162,95.956,"Myanmar ranks High because it has 11,596,899 people in need, 32% funded, and $135,931,809 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 3 of the last 3 observed funding years. It has an active HRP in 2026 (Myanmar Humanitarian Needs and Response Plan 2026); matched FTS funding coverage is 32% funded. The lowest matched sector funding coverage is Education at 8.1%. The largest single-country incoming flow source accounts for 56.6% of matched paid/commitment flow detail."
7,South Sudan,SSD,SSD,East Africa,2026,2026,Final caseload,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2026.csv,9913863.0,1463046056.0,357756561.0,0.24452857073967602,0.755471429260324,South Sudan Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,True,True,2,South Sudan Humanitarian Needs and Response Plan 2026; Sudan Emergency: Regional Refugee Response Plan 2026,HSSD26; RREG26a,Humanitarian needs and response plan; sector,active_date_overlap_no_status_field,South Sudan Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,102699840.98,102699840.98,102699840.98,27.0,10.359215270576163,alias_match,pooledfundname_alias_table,12394970.0,2022,0.7998295276228986,"South Sudan National Bureau of Statistics [SSNBS], Government of South Sudan, UNFPA",False,1.0,1.0,"PIN is 80.0% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,15,1081563558.0,267235320.0,0.19354104465521807,Camp Coordination / Management,0.0,16927678.0,206686584,106,20,"United States of America, Government of",100000000,0.48382433956139115,148628371,60,28,South Sudan Humanitarian Fund,108393410,0.7292915159515541,0.75,0.75,0.4,0.3333333333333333,65.72011906484144,High,1,3,1,0.3333333333333333,High,ok,hrp_status_inferred_without_status_field; no_formal_severity_dataset,6.877,31.307,"South Sudan ranks High because it has 9,913,863 people in need, 24% funded, and $102,699,841 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 1 of the last 3 observed funding years. COD admin0 data puts PIN at 80.0% of the population baseline. It has an active HRP in 2026 (South Sudan Humanitarian Needs and Response Plan 2026); matched FTS funding coverage is 24% funded. The need-context proxy ranks at percentile 100% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Camp Coordination / Management at 0.0%. The largest single-country incoming flow source accounts for 48.4% of matched paid/commitment flow detail."
8,Mali,MLI,MLI,West and Central Africa,2026,2026,GHO Estimates,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2026.csv,5100000.0,577866412.0,92429441.0,0.15994949538614125,0.8400505046138588,Mali Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,True,True,1,Mali Besoins Humanitaires et Plan de Réponse 2026,HMLI26,Humanitarian needs and response plan,active_date_overlap_no_status_field,Mali Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,0.0,0.0,0.0,0.0,0.0,not_applicable_no_mapped_allocation,no_mapped_cbpf_allocation,17907114.0,2018,0.284803011808603,DNP - Direction Nationale de la Population,False,0.6,7.0,"PIN is 28.5% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,9,533094595.0,43716360.0,0.06265006226045967,Multipurpose Cash,0.03424343989118073,29666195.0,62879677,124,21,European Commission's Humanitarian Aid and Civil Protection Department,15033069,0.23907675289108116,38878258,72,23,World Food Programme,9982016,0.2567505982392524,0.4,0.55,0.8,0.6666666666666666,64.16792928201313,High,2,3,2,0.6666666666666666,High,no_mapped_cbpf_allocation,hrp_status_inferred_without_status_field; no_formal_severity_dataset,17.5707,-3.9962,"Mali ranks High because it has 5,100,000 people in need, 16% funded, and $0 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. COD admin0 data puts PIN at 28.5% of the population baseline. It has an active HRP in 2026 (Mali Besoins Humanitaires et Plan de Réponse 2026); matched FTS funding coverage is 16% funded. The need-context proxy ranks at percentile 60% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Multipurpose Cash at 3.4%. The largest single-country incoming flow source accounts for 23.9% of matched paid/commitment flow detail."
9,Somalia,SOM,SOM,East Africa,2026,2026,Health,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2026.csv,4989936.0,852000000.0,146978139.0,0.17250955281690142,0.8274904471830986,Somalia Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,True,True,2,Regional Migrant Response Plan for Horn of Africa to Yemen and Southern Africa 2026; Somalia Humanitarian Needs and Response Plan 2026,HSOM26; RREG26,Humanitarian needs and response plan; sector,active_date_overlap_no_status_field,Somalia Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,0.0,0.0,0.0,0.0,0.0,not_applicable_no_mapped_allocation,no_mapped_cbpf_allocation,12327528.0,2014,0.404779936415476,Multiple Source (Humanitarian Partners),False,0.7333333333333333,5.0,"PIN is 40.5% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,11,835000000.0,92211532.0,0.09215452631578948,Camp Coordination / Management,0.0,17000000.0,76368310,94,18,European Commission's Humanitarian Aid and Civil Protection Department,14393506,0.18847485298548575,60892684,81,25,Somalia Humanitarian Fund,25990815,0.42682984707982324,0.35,0.5,0.8,0.6666666666666666,61.35392784624414,High,2,3,2,0.6666666666666666,High,no_mapped_cbpf_allocation,hrp_status_inferred_without_status_field; no_formal_severity_dataset,5.1521,46.1996,"Somalia ranks High because it has 4,989,936 people in need, 17% funded, and $0 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. COD admin0 data puts PIN at 40.5% of the population baseline. It has an active HRP in 2026 (Somalia Humanitarian Needs and Response Plan 2026); matched FTS funding coverage is 17% funded. The need-context proxy ranks at percentile 73% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Camp Coordination / Management at 0.0%. The largest single-country incoming flow source accounts for 18.8% of matched paid/commitment flow detail."
10,Haiti,HTI,HTI,Latin America and Caribbean,2026,2026,Final HNRP,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2026.csv,6414193.0,880327426.0,197937587.0,0.224845416777916,0.775154583222084,Haiti Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,True,True,1,Haiti Besoins Humanitaires et Plan de Réponse 2026,HHTI26,Humanitarian needs and response plan,active_date_overlap_no_status_field,Haiti Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,121500000.18,121500000.18,121500000.18,7.0,18.94236736873992,alias_match,pooledfundname_alias_table,11899555.0,2024,0.5390279720544172,"Please see section 3 ""Data Sources"" of attached ""Technical Accompanying Note""",False,0.8,4.0,"PIN is 53.9% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,11,880327426.0,163623795.0,0.17063149083837892,Camp Coordination / Management,0.07914241176470588,15654579.0,173682527,42,11,"United States of America, Government of",132935958,0.7653962681001296,160974381,32,16,"Haiti (Latin America, Caribbean HF)",125584795,0.7801539239961419,0.55,0.65,0.25,0.6666666666666666,60.29553124721876,High,2,3,2,0.6666666666666666,High,ok,hrp_status_inferred_without_status_field; no_formal_severity_dataset,18.9712,-72.2852,"Haiti ranks High because it has 6,414,193 people in need, 22% funded, and $121,500,000 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. COD admin0 data puts PIN at 53.9% of the population baseline. It has an active HRP in 2026 (Haiti Besoins Humanitaires et Plan de Réponse 2026); matched FTS funding coverage is 22% funded. The need-context proxy ranks at percentile 80% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Camp Coordination / Management at 7.9%. The largest single-country incoming flow source accounts for 76.5% of matched paid/commitment flow detail."
