rank,country,iso3,country_iso3,region,year,hno_year,sector_label,need_method,need_selection,source_file,people_in_need,requirements_usd,funding_usd,funding_pct,funding_gap,appeal_names,appeal_types,has_hrp_record,has_active_hrp,active_hrp_count,active_hrp_names,active_hrp_codes,active_hrp_types,hrp_status,hrp_plan_name,hrp_plan_type,hrp_year,hrp_match_confidence,hrp_data_quality,cbpf_allocation_usd,cbpf_allocation,cbpf_budget_usd,cbpf_projects,cbpf_per_person_in_need,cbpf_mapping_confidence,cbpf_country_source,population_baseline,population_reference_year,pin_population_share,population_source,severity_available,severity_scale,severity_rank,severity_context,severity_source,inform_severity_score,inform_severity_level,sector_count,sector_requirements_usd,sector_funding_usd,sector_median_funding_pct,worst_sector,worst_sector_funding_pct,worst_sector_gap_usd,incoming_total_usd,incoming_flow_records,incoming_source_count,top_donor,top_donor_usd,top_donor_share,outgoing_total_usd,outgoing_flow_records,outgoing_recipient_count,top_recipient,top_recipient_usd,top_recipient_share,need_scale,unmet_need_scale,cbpf_gap_scale,chronic_scale,overlooked_score,overlooked_level,underfunded_years_last_3,observed_funding_years_last_3,chronic_underfunding_count,chronic_underfunding_scale,confidence,data_quality_flags,supplemental_data_flags,lat,lon,explanation
11,Colombia,COL,COL,Latin America and Caribbean,2026,2026,GHO Estimates,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2026.csv,6900000.0,522218090.0,184125805.0,0.35258411863901534,0.6474158813609847,Colombia Necesidades Humanitarias y Plan de Respuesta 2026; Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2026,Humanitarian needs and response plan; Regional response plan,True,True,2,Colombia Necesidades Humanitarias y Plan de Respuesta 2026; Venezuela Regional Refugee and Migrant Response Plan (RMRP) 2026,HCOL26; RREG26b,Humanitarian needs and response plan; sector,active_date_overlap_no_status_field,Colombia Necesidades Humanitarias y Plan de Respuesta 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,97200000.02,97200000.02,97200000.02,11.0,14.08695652463768,alias_match,pooledfundname_alias_table,53216592.0,2025,0.1296588101695802,Departamento Administrativo Nacional de Estadística (DANE),False,0.4666666666666667,9.0,"PIN is 13.0% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,8,286966367.0,58944817.0,0.16198395471041088,Emergency Shelter and NFI,0.05444616774115502,10130017.0,172635637,72,16,"United States of America, Government of",124843025,0.7231590601423737,154441580,49,20,"Colombia (Latin America, Caribbean HF)",100584795,0.6512805359800127,0.65,0.6,0.30000000000000004,0.6666666666666666,58.35206370069128,High,2,3,2,0.6666666666666666,High,ok,hrp_status_inferred_without_status_field; no_formal_severity_dataset,4.5709,-74.2973,"Colombia ranks High because it has 6,900,000 people in need, 35% funded, and $97,200,000 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. COD admin0 data puts PIN at 13.0% of the population baseline. It has an active HRP in 2026 (Colombia Necesidades Humanitarias y Plan de Respuesta 2026); matched FTS funding coverage is 35% funded. The need-context proxy ranks at percentile 47% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Emergency Shelter and NFI at 5.4%. The largest single-country incoming flow source accounts for 72.3% of matched paid/commitment flow detail."
12,Burkina Faso,BFA,BFA,West and Central Africa,2026,2026,GHO Estimates,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2026.csv,4400000.0,658486359.0,91055738.0,0.13828037096817067,0.8617196290318293,Burkina Faso Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,True,True,1,Burkina Faso Besoins Humanitaires et Plan de Réponse 2026,HBFA26,Humanitarian needs and response plan,active_date_overlap_no_status_field,Burkina Faso Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,0.0,0.0,0.0,0.0,0.0,not_applicable_no_mapped_allocation,no_mapped_cbpf_allocation,23558491.0,2024,0.18676917804285512,Institut Geographique National de la Statistique (INS) ,False,0.5333333333333333,8.0,"PIN is 18.7% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,10,611286160.0,53825400.0,0.07896475586194796,Camp Coordination / Management,0.004081112052108504,7480290.0,52523546,94,17,European Commission's Humanitarian Aid and Civil Protection Department,14096840,0.2683908660698575,35162633,56,20,World Food Programme,9495653,0.27004954378700824,0.3,0.35,0.8,0.6666666666666666,56.7096573924624,High,2,3,2,0.6666666666666666,High,no_mapped_cbpf_allocation,hrp_status_inferred_without_status_field; no_formal_severity_dataset,12.2383,-1.5616,"Burkina Faso ranks High because it has 4,400,000 people in need, 14% funded, and $0 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. COD admin0 data puts PIN at 18.7% of the population baseline. It has an active HRP in 2026 (Burkina Faso Besoins Humanitaires et Plan de Réponse 2026); matched FTS funding coverage is 14% funded. The need-context proxy ranks at percentile 53% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Camp Coordination / Management at 0.4%. The largest single-country incoming flow source accounts for 26.8% of matched paid/commitment flow detail."
13,Niger,NER,NER,West and Central Africa,2026,2026,GHO Estimates,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2026.csv,2600000.0,675619589.0,82944207.0,0.12276761708873424,0.8772323829112658,Niger Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,True,True,1,Niger Besoins Humanitaires et Plan de Réponse 2026,HNER26,Humanitarian needs and response plan,active_date_overlap_no_status_field,Niger Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,0.0,0.0,0.0,0.0,0.0,not_applicable_no_mapped_allocation,no_mapped_cbpf_allocation,26367847.0,2024,0.09860494108601282,National Institute of Statistics,False,0.4,10.0,"PIN is 9.9% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,14,555245991.0,55189869.0,0.09401029346656767,Protection - Mine Action,0.0,3160000.0,49316753,89,16,"Germany, Government of",10758938,0.21815990197083737,37849533,72,22,World Food Programme,14639283,0.3867757892812046,0.2,0.25,0.8,0.6666666666666666,52.09747623944831,Moderate,2,3,2,0.6666666666666666,High,no_mapped_cbpf_allocation,hrp_status_inferred_without_status_field; no_formal_severity_dataset,17.6078,8.0817,"Niger ranks Moderate because it has 2,600,000 people in need, 12% funded, and $0 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. COD admin0 data puts PIN at 9.9% of the population baseline. It has an active HRP in 2026 (Niger Besoins Humanitaires et Plan de Réponse 2026); matched FTS funding coverage is 12% funded. The need-context proxy ranks at percentile 40% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Protection - Mine Action at 0.0%. The largest single-country incoming flow source accounts for 21.8% of matched paid/commitment flow detail."
14,Cameroon,CMR,CMR,West and Central Africa,2026,2026,GHO Estimates,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2026.csv,2900000.0,318976221.0,74141534.0,0.2324359281941584,0.7675640718058416,Cameroon Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,True,True,1,Cameroon Humanitarian Needs and Response Plan 2026,HCMR26,Humanitarian needs and response plan,active_date_overlap_no_status_field,Cameroon Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,0.0,0.0,0.0,0.0,0.0,not_applicable_no_mapped_allocation,no_mapped_cbpf_allocation,29442318.0,2025,0.09849767942863738,BUCREP Cameroun,False,0.3333333333333333,11.0,"PIN is 9.8% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,12,264711863.0,28155581.0,0.06711947694551412,Protection - Child Protection,0.0,11748612.0,53191123,58,9,United States Department of State,30000000,0.5640038846331558,45761797,24,9,United Nations High Commissioner for Refugees,33894182,0.7406654507033454,0.25,0.2,0.8,0.6666666666666666,48.8557684618127,Moderate,2,3,2,0.6666666666666666,High,no_mapped_cbpf_allocation,hrp_status_inferred_without_status_field; no_formal_severity_dataset,7.3697,12.3547,"Cameroon ranks Moderate because it has 2,900,000 people in need, 23% funded, and $0 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. COD admin0 data puts PIN at 9.8% of the population baseline. It has an active HRP in 2026 (Cameroon Humanitarian Needs and Response Plan 2026); matched FTS funding coverage is 23% funded. The need-context proxy ranks at percentile 33% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Protection - Child Protection at 0.0%. The largest single-country incoming flow source accounts for 56.4% of matched paid/commitment flow detail."
15,Democratic Republic of the Congo,COD,COD,West and Central Africa,2026,2026,Protection (total),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2026.csv,5850814.0,1403721718.0,478312939.0,0.34074626962493143,0.6592537303750685,République Démocratique du Congo Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,True,True,1,République Démocratique du Congo Besoins Humanitaires et Plan de Réponse 2026,HCOD26,Humanitarian needs and response plan,active_date_overlap_no_status_field,République Démocratique du Congo Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,149774981.91,149774981.91,149774981.91,20.0,25.598999029878577,alias_match,pooledfundname_alias_table,103199358.0,2020,0.0566942867997299,Health Zone population statistics developed by the DRC IM Working Group,False,0.26666666666666666,12.0,"PIN is 5.7% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,15,1301117424.0,322313483.0,0.21786281910894847,"Protection - Housing, Land and Property",0.0,6610241.0,385286743,88,15,"United States of America, Government of",229105993,0.5946376229197172,333115961,70,29,Democratic Republic of the Congo Humanitarian Fund,155437348,0.46661633244286366,0.45,0.4,0.15000000000000002,0.6666666666666666,46.39800992604338,Moderate,2,3,2,0.6666666666666666,High,ok,hrp_status_inferred_without_status_field; no_formal_severity_dataset,-4.0383,21.7587,"Democratic Republic of the Congo ranks Moderate because it has 5,850,814 people in need, 34% funded, and $149,774,982 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. COD admin0 data puts PIN at 5.7% of the population baseline. It has an active HRP in 2026 (République Démocratique du Congo Besoins Humanitaires et Plan de Réponse 2026); matched FTS funding coverage is 34% funded. The need-context proxy ranks at percentile 27% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Protection - Housing, Land and Property at 0.0%. The largest single-country incoming flow source accounts for 59.5% of matched paid/commitment flow detail."
16,Ukraine,UKR,UKR,Europe,2026,2026,Protection (overall),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2026.csv,6539382.0,2303961975.0,851356706.0,0.3695185577010228,0.6304814422989772,Ukraine Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,True,True,1,Ukraine Humanitarian Needs and Response Plan 2026,HUKR26,Humanitarian needs and response plan,active_date_overlap_no_status_field,Ukraine Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,224973913.23,224973913.23,224973913.23,37.0,34.40293184126573,alias_match,pooledfundname_alias_table,,,,,False,,,"No local INFORM/IPC/IDP severity file is available, and no COD baseline matched this row.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,12,2303961975.0,553615556.0,0.26711468807320016,Emergency Telecommunications,0.0,856000.0,565083413,188,24,"United States of America, Government of",155000000,0.27429578790344,521112279,113,42,Ukraine Humanitarian Fund,184601816,0.35424576130550167,0.6,0.45,0.09999999999999998,0.3333333333333333,46.09536939080776,Moderate,1,3,1,0.3333333333333333,High,ok,no_cod_population_baseline; hrp_status_inferred_without_status_field; no_formal_severity_dataset,48.3794,31.1656,"Ukraine ranks Moderate because it has 6,539,382 people in need, 37% funded, and $224,973,913 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 1 of the last 3 observed funding years. It has an active HRP in 2026 (Ukraine Humanitarian Needs and Response Plan 2026); matched FTS funding coverage is 37% funded. The lowest matched sector funding coverage is Emergency Telecommunications at 0.0%. The largest single-country incoming flow source accounts for 27.4% of matched paid/commitment flow detail."
17,Nigeria,NGA,NGA,West and Central Africa,2026,2026,GHO Estimates,national_hno_record,max_reported_pin_no_intersectoral,hpc_hno_2026.csv,5900000.0,516399423.0,214646368.0,0.41565958140119763,0.5843404185988024,Nigeria Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,True,True,1,Nigeria Humanitarian Needs and Response Plan 2026,HNGA26,Humanitarian needs and response plan,active_date_overlap_no_status_field,Nigeria Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,121500055.47999999,121500055.47999999,121500055.47999999,17.0,20.59322974237288,alias_match,pooledfundname_alias_table,216798930.0,2022,0.027214156453631944,UNFPA and United States Census Bureau - PEPFAR  program,False,0.13333333333333333,14.0,"PIN is 2.7% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,10,516399422.0,168042158.0,0.31999619875010504,Camp Coordination / Management,0.0,5135968.0,182726889,84,17,"United States of America, Government of",125000000,0.6840810385602307,163518962,66,21,Nigeria Humanitarian Fund,127801708,0.7815711794941556,0.5,0.3,0.19999999999999996,0.3333333333333333,39.94184379830339,Moderate,1,3,1,0.3333333333333333,High,ok,hrp_status_inferred_without_status_field; no_formal_severity_dataset,9.082,8.6753,"Nigeria ranks Moderate because it has 5,900,000 people in need, 42% funded, and $121,500,055 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 1 of the last 3 observed funding years. COD admin0 data puts PIN at 2.7% of the population baseline. It has an active HRP in 2026 (Nigeria Humanitarian Needs and Response Plan 2026); matched FTS funding coverage is 42% funded. The need-context proxy ranks at percentile 13% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Camp Coordination / Management at 0.0%. The largest single-country incoming flow source accounts for 68.4% of matched paid/commitment flow detail."
18,Mozambique,MOZ,MOZ,Southern Africa,2026,2026,Protection (overall),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2026.csv,1654443.0,534342584.0,137591093.0,0.25749602805379257,0.7425039719462074,Mozambique Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,True,True,1,Mozambique Humanitarian Needs and Response Plan 2026,HMOZ26,Humanitarian needs and response plan,active_date_overlap_no_status_field,Mozambique Humanitarian Needs and Response Plan 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,77800000.0,77800000.0,77800000.0,14.0,47.02488994785556,alias_match,pooledfundname_alias_table,35163992.0,2025,0.047049350938312126, Mozambique INE (Instituto Nacional de Estatistica),False,0.2,13.0,"PIN is 4.7% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,13,534342584.0,110178059.0,0.17139362945351036,Logistics,0.0,7654749.0,131423883,88,20,"United States of America, Government of",80000000,0.6087173668426765,120100969,56,22,"Mozambique (Eastern, Southern Africa HF)",81602408,0.679448373143434,0.15,0.15,0.050000000000000044,1.0,36.81259929865519,Moderate,3,3,3,1.0,High,ok,hrp_status_inferred_without_status_field; no_formal_severity_dataset,-18.6657,35.5296,"Mozambique ranks Moderate because it has 1,654,443 people in need, 26% funded, and $77,800,000 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 3 of the last 3 observed funding years. COD admin0 data puts PIN at 4.7% of the population baseline. It has an active HRP in 2026 (Mozambique Humanitarian Needs and Response Plan 2026); matched FTS funding coverage is 26% funded. The need-context proxy ranks at percentile 20% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Logistics at 0.0%. The largest single-country incoming flow source accounts for 60.9% of matched paid/commitment flow detail."
19,Central African Republic,CAF,CAF,West and Central Africa,2026,2026,Protection (overall),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2026.csv,1043244.0,264097388.0,56005327.0,0.2120631613365294,0.7879368386634706,République Centrafricaine Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,True,True,2,République Centrafricaine Besoins Humanitaires et Plan de Réponse 2026; Sudan Emergency: Regional Refugee Response Plan 2026,HCAF26; RREG26a,Humanitarian needs and response plan; sector,active_date_overlap_no_status_field,République Centrafricaine Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,2793560.45,2793560.45,2793560.45,6.0,2.677763255767587,alias_match,pooledfundname_alias_table,,,,,False,,,"No local INFORM/IPC/IDP severity file is available, and no COD baseline matched this row.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,14,223020543.0,29972486.0,0.11275863181447349,Protection - Gender-Based Violence,0.0,14044630.0,31062399,64,13,European Commission's Humanitarian Aid and Civil Protection Department,8448270,0.2719773833308883,17895209,32,12,Norwegian Refugee Council,3129135,0.17485881276938425,0.1,0.1,0.55,0.3333333333333333,36.2817542999201,Moderate,1,3,1,0.3333333333333333,High,ok,no_cod_population_baseline; hrp_status_inferred_without_status_field; no_formal_severity_dataset,6.6111,20.9394,"Central African Republic ranks Moderate because it has 1,043,244 people in need, 21% funded, and $2,793,560 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 1 of the last 3 observed funding years. It has an active HRP in 2026 (République Centrafricaine Besoins Humanitaires et Plan de Réponse 2026); matched FTS funding coverage is 21% funded. The lowest matched sector funding coverage is Protection - Gender-Based Violence at 0.0%. The largest single-country incoming flow source accounts for 27.2% of matched paid/commitment flow detail."
20,Chad,TCD,TCD,West and Central Africa,2026,2026,Protection (total),national_hno_record,intersectoral_or_plan_caseload_hno,hpc_hno_2026.csv,462247.0,986069627.0,243066985.0,0.24650083355624947,0.7534991664437505,Tchad Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,True,True,2,Sudan Emergency: Regional Refugee Response Plan 2026; Tchad Besoins Humanitaires et Plan de Réponse 2026,HTCD26; RREG26a,Humanitarian needs and response plan; sector,active_date_overlap_no_status_field,Tchad Besoins Humanitaires et Plan de Réponse 2026,Humanitarian needs and response plan,2026,medium_date_inferred,matched_by_year_and_date_no_status_field,97272706.83,97272706.83,97272706.83,12.0,210.43447946660552,alias_match,pooledfundname_alias_table,18033749.0,2023,0.02563232969472959,UNFPA and INSEED Tchad,False,0.06666666666666667,15.0,"PIN is 2.6% of the COD admin0 population baseline. This is a need-scale proxy, not INFORM or IPC severity.","HNO PIN / COD population proxy, not INFORM or IPC severity",,,12,446148570.0,170074184.0,0.2590852597293327,Multipurpose Cash,0.0,1821169.0,174630725,120,17,"United States of America, Government of",100000000,0.5726369171289875,137877665,55,22,"Chad (West, Central Africa HF)",100215123,0.7268408773821343,0.05,0.05,0.0,0.6666666666666666,28.00414582776043,Watch,2,3,2,0.6666666666666666,High,ok,hrp_status_inferred_without_status_field; no_formal_severity_dataset,15.4542,18.7322,"Chad ranks Watch because it has 462,247 people in need, 25% funded, and $97,272,707 in mapped CBPF allocations for the selected year. It was below the chronic funding threshold in 2 of the last 3 observed funding years. COD admin0 data puts PIN at 2.6% of the population baseline. It has an active HRP in 2026 (Tchad Besoins Humanitaires et Plan de Réponse 2026); matched FTS funding coverage is 25% funded. The need-context proxy ranks at percentile 7% based on HNO PIN divided by COD admin0 population; it is not INFORM or IPC severity. The lowest matched sector funding coverage is Multipurpose Cash at 0.0%. The largest single-country incoming flow source accounts for 57.3% of matched paid/commitment flow detail."
